t_ms,s1,s2,s1_norm,s2_norm,thr1,thr2,line1,line2
1901240,3280,3218,0.0,0.0,412.5,409.0,1,1
1901340,2846,3450,0.0,0.0,412.5,409.0,1,1
1901440,2126,3538,0.0,0.0,412.5,409.0,1,1
1901540,1683,3023,0.0,0.0,412.5,409.0,1,1
1901640,1437,1515,0.0,0.0,412.5,409.0,1,1
1901740,1770,1055,0.0,0.0,412.5,409.0,1,1
1901840,2346,1707,0.0,0.0,412.5,409.0,1,1
1901940,2559,1722,0.0,0.0,412.5,409.0,1,1
1902040,1643,323,0.0,0.6057,412.5,409.0,1,0
1902140,1457,235,0.0,0.7138,412.5,409.0,1,0
1902240,2112,1287,0.0,0.0,412.5,409.0,1,1
1902340,1871,1090,0.0,0.0,412.5,409.0,1,1
1902440,1695,784,0.0,0.0393,412.5,409.0,1,1
1902540,1792,786,0.0,0.0369,412.5,409.0,1,1
1902640,1747,799,0.0,0.0209,412.5,409.0,1,1
1902740,3386,3382,0.0,0.0,412.5,409.0,1,1
1902840,4095,4063,0.0,0.0,412.5,409.0,1,1
